Source	Target	Weight
AIBL	AVAL	1
AIBL	AVEL	1
AIBL	AVER	1
AIBL	RIML	1
AIBL	RIMR	1
AIBR	AVAR	1
AIBR	AVEL	1
AIBR	AVER	1
AIBR	RIML	1
AIBR	RIMR	1
AVAL	AVDL	1
AVAL	AVDR	1
AVAL	AVER	1
AVAL	DA01	4
AVAL	DA02	4
AVAL	DA03	4
AVAL	DA04	4
AVAL	DA06	5
AVAL	DA07	5
AVAL	VA02	3
AVAL	VA03	3
AVAL	VA04	3
AVAL	VA05	3
AVAL	VA08	9
AVAL	VA09	9
AVAL	VA10	5
AVAL	VA12	5
AVAR	AVDL	1
AVAR	AVDR	1
AVAR	AVEL	1
AVAR	DA01	4
AVAR	DA02	4
AVAR	DA03	4
AVAR	DA04	4
AVAR	DA06	5
AVAR	DA07	5
AVAR	VA02	3
AVAR	VA03	3
AVAR	VA04	3
AVAR	VA05	3
AVAR	VA08	9
AVAR	VA09	9
AVAR	VA10	5
AVAR	VA12	5
AVDL	AVAL	1
AVDL	AVAR	1
AVDL	AVEL	1
AVDL	DA01	2
AVDL	DA02	2
AVDL	DA03	2
AVDL	DA04	2
AVDL	DA05	1
AVDL	DA08	1
AVDL	DA09	1
AVDL	VA02	2
AVDL	VA03	2
AVDL	VA04	2
AVDL	VA05	2
AVDL	VA06	1
AVDL	VA11	1
AVDR	AVAL	1
AVDR	AVAR	1
AVDR	AVER	1
AVDR	DA01	2
AVDR	DA02	2
AVDR	DA03	2
AVDR	DA04	2
AVDR	DA05	1
AVDR	DA08	1
AVDR	DA09	1
AVDR	VA02	2
AVDR	VA03	2
AVDR	VA04	2
AVDR	VA05	2
AVDR	VA06	1
AVDR	VA11	1
AVEL	AVAL	1
AVEL	AVAR	1
AVEL	AVDL	1
AVEL	DA01	3
AVEL	DA02	3
AVEL	DA03	3
AVEL	DA04	3
AVEL	VA01	3
AVEL	VA02	2
AVEL	VA03	2
AVEL	VA04	2
AVEL	VA05	2
AVER	AVAL	1
AVER	AVAR	1
AVER	AVDR	1
AVER	DA01	3
AVER	DA02	3
AVER	DA03	3
AVER	DA04	3
AVER	VA01	3
AVER	VA02	2
AVER	VA03	2
AVER	VA04	2
AVER	VA05	2
RIML	AIBL	1
RIML	AIBR	1
RIML	AVAL	1
RIML	AVAR	1
RIMR	AIBL	1
RIMR	AIBR	1
RIMR	AVAL	1
RIMR	AVAR	1
VA02	VA03	1
VA02	VA05	1
VA03	VA02	1
VA03	VA04	1
VA08	VA09	1
VA09	VA08	1
VA12	DA05	1
VA12	DA08	1
VA12	DA09	1
VA12	VA06	1
VA12	VA11	1
AVAL	VA06	5
AVAR	VA06	5
AVAL	VA11	5
AVAR	VA11	5
AVAL	DA08	5
AVAL	DA09	5
AVAR	DA08	5
AVAR	DA09	5
AVAL	DA05	5
AVAR	DA05	5
AVAR	AVAL	2
AVAL	AVAR	2
AVDR	AVDL	2
AVDL	AVDR	2